% of recommended daily allowances (RDAs) ; % zalecanego spożycia dziennego
3 times daily ; trzy razy dziennie
abdominal pain ; bóle brzucha
absorption ; absorpcja
absorption of medication ; absorbcja leku
access to public information ; dostęp do informacji publicznej
accidental overdose ; przypadkowe przedawkowanie
acetylcholine ; acetylocholina
acetylcholinesterase ; acetylocholinoesteraza
acrylic matrix ; macierz akrylowa
acrylic polymer ; polimer akrylowy
active drug ; lek aktywny
activities of daily living ; czynności dnia codziennego
Address of Manufacturer ; Adres producenta
adhesive ; substancja przylepna
adverse events ; zdarzenia niepożądane
adverse reactions ; reakcje niepożądane
affinity ; powinowactwo
age-related macular degeneration ; związana z wiekiem degeneracja plamki (AMD)
aging and its natural process ; naturalny proces starzenia
allergia ; alergia
Alzheimer's disease ; choroba Alzheimera
amended legal state ; znowelizowany stan prawny
anatomic site ; region anatomiczny
anemia ; niedokrwistość
anorexia ; brak łaknienia anoreksja
anticholinergic medications ; leki o działaniu antycholinergicznym
anticholinergic precautions ; środki ostrożności związane z działaniem antycholinergicznym
anti-oxidant ; o działaniu antyoksydacyjnym
anxiety ; zaburzenia lękowe
arthralgia ; bóle stawów
as directed by your doctor ; według zaleceń lekarza
asthenia ; astenia
asthma ; astma
atropine ; atropina
attention ; koncentracja uwagi
attention deficit hyperactivity disorder ; zespół nadpobudliwości ruchowej z deficytem uwagi
available dosage forms and strenghts ; dostępne postaci oraz wielkości dawek
balanced diet ; zrównoważona dieta
bi-layer matrix ; macierz dwuwarstwowa
binding legal order ; obowiązujący porządek prawny
bioavailability ; biodostępności
biological properties ; właściwości biologiczne
black iron oxide ; czerwony tlenek żelaza
blood and lymphatic system disorders ; choroby krwi i układu limfatycznego
body ; organizm
body's cells ; komórki organizmu
breast-feeding ; karmienie piersią
bring to legal justice ; pociągnięcie do odpowiedzialności prawnej
Business Unit ; BU dział
calcium supplements ; suplementacja wapnia
capsule formulation ; postać w kapsułkach
carbamate ; karbaminian
Carbohydrates ; Węglowodany
cardiac muscle ; mięsień sercowy
caregiver ; opiekun
carotenoids ; karotenoidy
central vision ; widzenie centralne
chest ; klatka piersiowa
chest pain ; bóle w klatce piersiowej
cholinesterase inhibitor ; inhibitor cholinoesterazy
chronic ; przewlekła
climetidine ; cymetydyna
clinical studies ; badania kliniczne
cognitive functioning ; funkcje poznawcze
colored backing ; kolorowa warstwa zewnętrzna
colour ; barwnik
common adverse reactions ; najczęstsze reakcje niepożądane
comorbid conditions ; schorzenia towarzyszące
components of the formulation ; składniki leku
Composition ; Skład
compromising ; upośledzający
concentration gradient ; gradient stężeń
conduction defects ; zaburzenia przewodzenia
constant rate ; stała prędkość
constipation ; zaparcia
continuous drug delivery ; ciągłe dostarczanie leku
contraception ; antykoncepcja
contraindications ; przeciwwskazania
controlled clinical trial ; kontrolowane badanie kliniczne
copolymer ; kopolimer
copper ; miedź
corporate citizenship ; obywatelstwo korporacyjne/korporacyjna polityka obywatelska
current medical knowledge ; aktualna wiedza medyczna
daily nutrition ; codzienna dieta
daily tasks ; codzienne zadania
death ; zgon
decreased appetite ; spadek łaknienia
degenerative disorder ; choroba zwyrodnieniowa
dehydration ; odwodnienie
dementia of Parkinson's disease ; otępienie w przebiegu choroby Parkinsona
dementia of the Alzheimer's type ; otępienie typu alzheimerowskiego
dense macula lutea ; plamka gęsta
depression ; depresja
derivatives ; pochodne
dermatitis ; zapalenie skóry
dermis ; skóra właściwa
design and technology ; projekt i technologia
deterioration of intellectual faculties ; osłabienie zdolności intelektualnych
detrimental to driving and/or the ability to operate machinery ; upośledzające zdolność prowadzenia pojazdów i/lub obsługi maszyn
diabetes mellitus ; cukrzyca
diagnostic criteria ; kryteria diagnostyczne
diarrhea ; biegunki
difficulties passing urine ; trudności w oddawaniu moczu
diglycerides of fatty acids ; dwuglicerydy kwasów tłuszczowych
disease condition ; stan chorobowy
disease conditions ; stany chorobowe
distribution ; dystrybucja
diverticulitis ; zapalenie uchyłków
dizziness ; zawroty głowy
docosahexaenoic acid ; kwas dokozaheksaenowy
dosage and administration ; dawkowanie oraz sposób podawania
double-blind ; prowadzone metodą podwójnie ślepej próby
double-dummy ; podwójnie pozorowane
draft amendment ; projekt zmiany ustawy
drug delivery ; dostarczanie leku
drug interactions ; interakcje międzylekowe
muscle tremor ; drżenie mięśni
duodenal ulcer ; choroba wrzodowa dwunastnicy
dyspepsia ; dyspepsja
early-stage Parkinson's disease ; wczesne stadia choroby Parkinsona
eczema ; wyprysk
efficacy and safety ; skuteczność i bezpieczeństwo
eicosapentaenoic acid ; kwas eikozapentaenowy
elderly ; w podeszłym wieku
electricity currents ; impulsy elektryczne
elimination ; eliminacja
emulsifier ; emulgator
endodermis ; skóra wewnętrzna
Energentic Value ; Wartość energetyczna
epidermis ; naskórek
epilepsy ; padaczka
erythema ; rumień
esophageal rupture ; pęknięcie przełyku
ester ; ester
evaluation of the lawfulness ; analiza legalności
exacerbation ; nasilenie
executive function ; funkcje wykonawcze
exposure levels ; poziomy ekspozycji
extended release oral formulations ; leki podawane drogą doustną o przedłużonym uwalnianiu
extrapyramidal symptoms ; objawy pozapiramidowe
eye health ; zdrowie narządu wzroku
eyes ; narząd wzroku
fatigue ; uczucie zmęczenia
Fats ; Tłuszcze
firming agent ; substancja utwardzająca
first-pass effect ; efekt pierwszego przejścia
fish oil ; olej rybny
food intake ; spożywane pokarmy
Food Supplement ; Suplement diety
free radicals ; wolne rodniki
gastric ulcers ; choroba wrzodowa żołądka
gastritis ; zapalenie błony śluzowej żołądka
gastroesophageal reflux disease ; choroba refluksowa przełyku
gastrointestinal side effects ; działania uboczne ze strony przewodu pokarmowego
gastrointestinal system ; układ pokarmowy
gastrointestinal tract ; przewód pokarmowy
gelatin ; żelatyna
general disorders ; ogólne zaburzenia
geriatric neurologist ; neurolog-geriatra
gland cells ; komórki gruczołów
glycerol ; glicerol
greater compliance ; lepsze stosowanie się do zaleceń
greater efficacy ; wyższa skuteczność
gut wall ; ściana jelita
hair loss ; wypadanie włosów
headache ; bóle głowy
health care services ; świadczenia opieki zdrowotnej
healthcare provider ; pracownik służby zdrowia
healthcare providers ; pracownicy służby zdrowia
healthy lifestyle ; zdrowy tryb życia
healthy volunteers ; zdrowi ochotnicy
heart rythm disorder ; zaburzenie rytmu serca
hematemesis ; krwiste wymioty
hematochezia ; obecność krwi w kale
hematuria  ; krwiomocz
high intake ; spożywanie dużych ilości
hip fracture ; złamanie kości udowej
hormone replacement therapy ; hormonalna terapia zastępcza
hydrophilic molecules ; cząsteczki hydrofilne
hydrophilic properties ; właściwości hydrofilne
hydrophilicity ; hydrofilność
hyperlipidermia ; hiperlipidermia
hyperpyrexia ; gorączka
hypersensitiveness ; nadwrażliwość
hypersensitivity ; nadwrażliwość
hypnotics ; substancje o działaniu nasennym
hypodermis ; tkanka podskórna
hypokalemia ; hiperkaliemia
hyponatremia ; hiponatremia
impaired function ; nieprawidłowa czynność
impaired gastric function ; nieprawidłowa czynność żołądka
impaired liver function ; nieprawidłowa czynność wątroby
impairment in executive function ; zaburzenia funkcji wykonawczych
increasing heart rate ; przyspieszona czynność serca
infection ; infekcja
infestation ;  zakażenie
inflammation in the stomach ;stan zapalny zlokalizowany w żołądku
inflammatory stress ; stres zapalny
injury ; zranienie
insecticides ; substancje o działaniu insektobójczym
insomnia ; zaburzenia snu
irregular heartbeat ; nieregularna czynność serca
itching ; swędzenie
keep out of reach ; przechowywać poza zasięgiem
key nutrients ; kluczowe składniki odżywcze
key role ; kluczowa rola
laboratory values ; wyniki badań laboratoryjnych
lack of facial expresion ; brak ekspresji mimicznej
language ; język
latest scientific research ; najnowsze badania naukowe
Law Office ; Kancelaria Prawna
lawfulness ; legalność
leading cause ; wiodąca przyczyna
leaflet ;ulotka informacyjna
learning system ; materiały szkoleniowe
